ticker,announcement_date,record_date,pay_date,dividend_type,amount_per_share,currency
KUKZ,25-Mar-2025,31-May-2025,16-Jun-2025,Final,8.00,KES
CIC,28-Mar-2025,22-Apr-2025,18-Jun-2025,Final,0.13,KES
BKG,28-Mar-2025,30-May-2025,25-June-2025,Final,19.02,RWF
DTK,26-Mar-2025,23-May-2025,27-Jun-2025,Final,7.00,KES
EQTY,27-Mar-2025,23-May-2025,30-Jun-2025,Final,4.25,KES
NSE,28-Mar-2025,21-May-2025,31-Jul-2025,Final,0.32,KES
BAT,24-Feb-2025,23-May-2025,25-Jun-2025,Final,45.00,KES
COOP,,28-Apr-2025,10-Jun-2025,Final,1.50,KES
ABSA,,30-Apr-2025,22-May-2025,Final,1.55,KES
SCBK,19-Mar-2025,30-Apr-2025,28-May-2025,Final,37.00,KES
KCB,13-Mar-2025,03-Apr-2025,23-May-2025,Final,1.50,KES
SBIC,05-Mar-2025,16-May-2025,,Final,18.90,KES
EABL,28-Nov-2024,31-Dec-2024,31-Mar-2025,Final,1.00,KES
SCOM,13-Feb-2025,03-Mar-2025,31-Mar-2025,Interim,0.55,KES
KPLC,30-Jan-2025,28-Feb-2025,11-Apr-2025,Interim,0.20,KES
EABL,30-Jan-2025,21-Feb-2025,30-Apr-2025,Interim,2.50,KES
IMH,20-Nov-2024,16-Dec-2024,14-Jan-2025,Interim,1.30,KES
CARB,31-Oct-2024,26-Nov-2024,18-Dec-2024,Final,1.70,KES
KEGN,29-Oct-2024,28-11-2024,13-02-2025,Final,0.65,KES
KPLC,29-Oct-2024,02-Dec-2024,31-Jan-2025,Final,0.70,KES
BAMB,30-Aug-2024,20-Sep-2024,27-Sep-2024,Special,18.25,KES
ABSA,26-Aug-2024,20-Sep-2024,15-Oct-2024,Interim,0.20,KES
BOC,22-Aug-2024,20-Sep-2024,14-Oct-2024,Interim,2.50,KES
NCBA,22-Aug-2024,11-Sep-2024,25-Sep-2024,Interim,2.25,KES
KCB,22-Aug-2024,12-Sep-2024,30-Oct-2024,Interim,1.50,KES
SCBK,22-Aug-2024,18-Sep-2024,08-Oct-2024,Interim,8.00,KES
UMME,19-Jul-2024,10-Oct-2024,31-Oct-2024,Interim,26.00,USH
SBIC,08-Jul-2024,02-Sep-2024,27-Sep-2024,Interim,1.84,KES
CTUM,30-Jul-2024,11-Oct-2024,13-Dec-2024,Final,0.32,KES
EABL,30-Jul-2024,16-Sep-2024,28-Oct-2024,Final,6.00,KES
BAT,25-Jul-2024,30-Aug-2024,27-Sep-2024,Interim,5.00,KES
KAPC,28-Jun-2024,31-Jul-2024,02-Sep-2024,Final,15.00,KES
WTK,28-Jun-2024,31-Jul-2024,02-Sep-2024,Final,15.00,KES
